Name,Party,State,Committee(s),Portfolio Gain %,Chairman?,Largest Holding,Shares of Holding,Current Stock Price,Percentage of Portfolio,Value of Largest Holding,Total Portfolio Value,Stock Sector,Recent Trade?,Action,Ticker,Amount,Date Reported
Mark Green,Republican,Tennessee,Homeland Security ,239.74%,Y,NGL,"2,436,240",6,53.05,14617440,27554081.06,Energy (Oil & Gas),Y,Sell,NGL,"$100,001-$250,000",04-07-2024
Chuck Fleischmann,Republican,Tennessee,"Science, Space and Technology",96.26%,N,DKNG,"5,160",44.22,21.94,228175.2,1039996.35,Consumer Cyclical,N,N/A,N/A,N/A,N/A
Ron Wyden,Democrat,Oregon,Finance ,306.92%,Y,NVDA,"1,710",881.86,54.88,1507980.6,2747778.06,Technology (Semiconductors),N,N/A,N/A,N/A,N/A
David Kustoff,Republican ,Tennessee,Ways and Means (Tax),192.83%,N,NVDA,670,881.86,28.7,590846.2,2058697.56,Technology (Semiconductors),Y,Buy,NVDA,"$15,001-$50,000",11-30-2023
Jared Moskowitz,Democrat,Florida,Oversight and Accountability,23.66%,N,CMI,"1,290",298.63,25.21,385232.7,1528094.8,Industrial,Y,Sell,SBCF,"$15,001-$50,000",01-22-2024
Tina Smith ,Democrat,Minnesota,"Banking, Housing and Urban Affairs",51.89%,N,AORT,"157,250",20.46,55.88,3217335,5757578.74,Financial,Y,Buy,AORT,"$50,001-$100,000",03-12-2024
Michael Guest,Republican ,Mississippi,Ethics,81.83%,Y,CHRD,"2,060",187.12,24.92,385467.2,1546818.62,Energy (Oil & Gas),Y,Buy,NVDA,"$1,001-$15,000",10-17-2022
Suzan DelBene,Democrat,Washington,Ways and Means (Tax),76.19%,N,MSFT,340,421.9,100,143446,143446,Technology (Software),Y,Sell,MSFT,"$100,001-$250,000",03-08-2024
Majorie Green,Republican ,Georgia,Homeland Security ,54.65%,N,V,"2,630",275.96,9.2,725774.8,7888856.52,Financial,Y,Buy,UPS,"$15,001-$50,000",06-20-2022
Mike Kelly,Republican ,Pennsylvania,Ways and Means (Tax),27.41%,N,CLF,"70,040",21.64,98.28,1515665.6,1542191.29,Basic Materials (Steel),N,N/A,N/A,N/A,N/A
Earl Blumenauer,Democrat,Oregon,Ways and Means (Tax),23.79%,N,ERJ,"19,480",24.85,5.76,484078,8404131.94,Industrial,Y,Buy,AMZN,"$15,001-$50,000",03-02-2024
Seth Moulton,Democrat,Massachusetts,Transportation and Infrastructure,116.92%,N,AMZN,570,186.13,100,106094.1,106094.1,Technology (Software),Y,Sell,ATVI,"$500,001-$1,000,000",09-15-2023
Victoria Spartz,Republican,Indiana,Judiciary,23.12%,N,SPG,"84,280",144.81,100,12204586.8,12204586.8,Real Estate,Y,Buy,SPG,"$50,001-$100,000",02-15-2024
John Rutherford,Republican,Florida,Appropriations (Allocate funds),49.77%,N,NCLH,"17,400",17.77,100,309198,309198,Consumer Cyclical,N,N/A,N/A,N/A,N/A
